Admin,pairs_n,points_n,ph_variogram_mean,ph_vario_sd,log_SOC_variogram_mean,log_SOC_vario_sd
Balaka,22366,211,0.26503090102078536,0.043999569398010356,0.22021558530986515,0.011225200151417689
Blantyre,24310,220,0.25855321652768576,0.03982956359809208,0.21852222815786376,0.010035260925043555
Chikwawa,124750,499,0.3033302973873949,0.05850252674079286,0.23055806909362822,0.015887924289644143
Chiradzulu,2556,71,0.23288927055344738,0.028207946635723232,0.21213569759239287,0.006863385202234127
Chitipa,108345,465,0.3216380635439187,0.06991351603764728,0.23606431268952996,0.01964825157697439
Dedza,88410,420,0.29457669559560457,0.05816428197775307,0.2282004012245761,0.015633903380617976
Dowa,46360,304,0.28391498979253327,0.05419127191511217,0.2252812496237143,0.014332851025221128
Karonga,64261,358,0.3026536052137398,0.06391207699705861,0.23055573288745587,0.017420647149023683
Kasungu,355746,843,0.3215803494991883,0.05890190417626804,0.23558302109811396,0.01625242231841395
Likoma,1,1,0.2256752861757657,NA,0.21026385325577335,NA
Lilongwe,190653,617,0.31054258320794137,0.05717368798130851,0.23246553654948862,0.015542360227290039
Machinga,81003,402,0.2884340048585508,0.05093459934863129,0.2263693883254292,0.013418955742774276
Mangochi,257403,717,0.3270290250096482,0.06334557907669326,0.2373095586623732,0.017765927457538966
Mchinji,57630,339,0.2826098524675509,0.04934059530835144,0.22481623323169633,0.012929930701505582
Mulanje,27028,232,0.2621949165246493,0.04039104140208051,0.21943589436298025,0.010178739140957248
Mwanza,28920,240,0.2718324420005768,0.04604774554225143,0.22197472497001824,0.011861362270208679
Mzimba,611065,1105,0.35231510589696396,0.06993959132362691,0.24512544273372686,0.020544846987488555
Nkhata Bay,92235,429,0.309413945792382,0.06434300244023254,0.23242612779241312,0.017732264489737876
Nkhotakota,92235,429,0.31335472891392674,0.06700833286564296,0.23363067887869635,0.01867469499900962
Nsanje,20503,202,0.2775799199238284,0.05389378272374624,0.2236328361663046,0.014120751719195176
Ntcheu,68635,370,0.2929852703434378,0.05848420821607761,0.2277872842913882,0.01569791988803958
Ntchisi,16471,181,0.2506144173548041,0.03384389399984097,0.21647183456416444,0.008376603182666104
Phalombe,10011,141,0.24414948543378442,0.030415486667531744,0.2148542708152664,0.007441904124480174
Rumphi,128778,507,0.29675207264535225,0.05551668254404547,0.2286970500080212,0.014896093951719251
Salima,28680,239,0.2683051998228069,0.046266856820264345,0.22108814926488565,0.011903054207802676
Thyolo,11628,152,0.24808383612580265,0.03355961793881264,0.2158513529491298,0.008309025072042089
Zomba,39060,279,0.26826698138070854,0.042215256636494426,0.22099523215574476,0.010784367515989072
